Student,SUB_1,SUB_2,SUB_3,SUB_4,SUB_5,SUB_6,SUB_7,SUB_8,SUB_9,SUB_10,USUB_1,USUB_2,USUB_3,USUB_4,USUB_5,USUB_6,USUB_7,USUB_8,USUB_9,USUB_10,SGD_1,SGD_2,SGD_3,SGD_4,SGD_5,SGD_6,SGD_7,SGD_8,SGD_9,SGD_10
1,Art Appreciation,Parallel & Distributed Computing,Physical Education 3,Essentials of Catholic Faith & Life,Understanding the Self,Life & Works of Rizal,Differential Calculus,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Computer Programming,1,3,2,1,1,1,3,2,2,3,96,90,86,86,72,74,82,96,76,70
2,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Living in the IT Era,Technopreneurship,Understanding the Self,Ethics,Readings in Philippine History,Parallel & Distributed Computing,Art Appreciation,Life & Works of Rizal,2,2,2,2,1,2,1,3,1,1,82,90,96,74,84,75,75,79,71,93
3,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Understanding the Self,Ethics,Technopreneurship,Essentials of Catholic Faith & Life,Data Structures & Algorithms,Parallel & Distributed Computing,Computer Programming,Art Appreciation,2,1,1,2,2,1,3,3,3,1,89,82,74,93,84,95,79,92,86,86
4,Physical Education 3,Readings in Philippine History,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Art Appreciation,Essentials of Catholic Faith & Life,Ethics,Differential Calculus,Living in the IT Era,2,1,1,2,2,1,1,2,3,2,95,73,92,83,93,99,89,70,98,83
5,Parallel & Distributed Computing,Discrete Structures,Computer Programming,Art Appreciation,Differential Calculus,Readings in Philippine History,Essentials of Catholic Faith & Life,Life & Works of Rizal,Living in the IT Era,Data Structures & Algorithms,3,3,3,1,3,1,1,1,2,3,78,100,71,86,98,73,91,98,92,100
6,Data Structures & Algorithms,Life & Works of Rizal,Discrete Structures,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Living in the IT Era,Art Appreciation,Computer Programming,Technopreneurship,Essentials of Catholic Faith & Life,3,1,3,2,2,2,1,3,2,1,88,88,85,86,83,89,92,79,77,72
7,Discrete Structures,Life & Works of Rizal,Ethics,Understanding the Self,Computer Programming,Technopreneurship,Readings in Philippine History,Data Structures & Algorithms,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,3,1,2,1,3,2,1,3,3,1,76,98,95,80,71,81,74,96,73,94
8,Life & Works of Rizal,Physical Education 3,Technopreneurship,Computer Programming,Art Appreciation,Essentials of Catholic Faith & Life,Readings in Philippine History,Data Structures & Algorithms,Understanding the Self,Discrete Structures,1,2,2,3,1,1,1,3,1,3,85,75,73,71,95,80,87,97,99,97
9,Differential Calculus,Parallel & Distributed Computing,Readings in Philippine History,Discrete Structures,Ethics,Essentials of Catholic Faith & Life,Computer Programming,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,3,3,1,3,2,1,3,2,2,1,100,87,97,87,73,74,99,73,100,83
10,Differential Calculus,Art Appreciation,Physical Education 3,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Ethics,Discrete Structures,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,3,1,2,3,1,2,3,1,2,2,86,87,93,93,87,89,100,94,98,80
11,Readings in Philippine History,Understanding the Self,Differential Calculus,Discrete Structures,Computer Programming,Parallel & Distributed Computing,Ethics,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Physical Education 3,1,1,3,3,3,3,2,3,1,2,78,95,95,77,74,77,86,94,77,76
12,Life & Works of Rizal,Essentials of Catholic Faith & Life,Parallel & Distributed Computing,Living in the IT Era,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Computer Programming,Data Structures & Algorithms,Art Appreciation,Understanding the Self,1,1,3,2,2,2,3,3,1,1,83,85,83,99,81,75,89,84,76,79
13,Differential Calculus,Life & Works of Rizal,Discrete Structures,Computer Programming,Ethics,Physical Education 3,Living in the IT Era,Art Appreciation,Technopreneurship,Understanding the Self,3,1,3,3,2,2,2,1,2,1,94,76,94,92,74,98,89,94,80,70
14,Discrete Structures,Life & Works of Rizal,Parallel & Distributed Computing,Understanding the Self,Art Appreciation,Living in the IT Era,Technopreneurship,Readings in Philippine History,Computer Programming,Physical Education 3,3,1,3,1,1,2,2,1,3,2,88,88,93,98,76,78,76,81,88,99
15,Ethics,Essentials of Catholic Faith & Life,Discrete Structures,Physical Education 3,Differential Calculus,Technopreneurship,Readings in Philippine History,Parallel & Distributed Computing,Understanding the Self,Computer Programming,2,1,3,2,3,2,1,3,1,3,100,82,79,90,92,70,80,91,80,87
16,Life & Works of Rizal,Living in the IT Era,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Ethics,Understanding the Self,Computer Programming,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,Parallel & Distributed Computing,1,2,3,1,2,1,3,2,3,3,82,99,88,94,97,95,77,84,96,86
17,Readings in Philippine History,Parallel & Distributed Computing,Understanding the Self,Living in the IT Era,Computer Programming,Technopreneurship,Ethics,Essentials of Catholic Faith & Life,Data Structures & Algorithms,Differential Calculus,1,3,1,2,3,2,2,1,3,3,86,75,83,75,91,83,74,97,82,75
18,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Data Structures & Algorithms,Computer Programming,Life & Works of Rizal,Readings in Philippine History,Art Appreciation,Differential Calculus,Technopreneurship,Understanding the Self,2,2,3,3,1,1,1,3,2,1,89,70,83,86,78,96,79,71,70,89
19,Data Structures & Algorithms,Physical Education 3,Living in the IT Era,Art Appreciation,Readings in Philippine History,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Differential Calculus,Discrete Structures,3,2,2,1,1,3,2,2,3,3,86,94,89,90,81,76,97,96,81,76
